194 - Hacksaw Ridge (2016) - Starring: Mel Gibson (dir.), Andrew Garfield, Sam Worthington
195 - How to Train Your Dragon (2010) - Starring: Dean DeBlois (dir.), Jay Baruchel, Gerard Butler
196 - Memories of Murder (2003) -" Starring: Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung"
197 - Le salaire de la peur (1953) -" Starring: Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
198 - Barry Lyndon (1975) - Starring: Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson
199 - The Seventh Seal (1957) - Starring: Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand
200 - Klaus (2019) - Starring: Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons
201 - The Big Lebowski (1998) - Starring: Joel Coen (dir.), Jeff Bridges, John Goodman
202 - Mad Max: Fury Road (2015) - Starring: George Miller (dir.), Tom Hardy, Charlize Theron
203 - Wild Tales (2014) - Starring: Damián Szifron (dir.), Darío Grandinetti, María Marull
204 - Monsters, Inc. (2001) - Starring: Pete Docter (dir.), Billy Crystal, John Goodman
205 - Mary and Max (2009) - Starring: Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman
206 - Jaws (1975) - Starring: Steven Spielberg (dir.), Roy Scheider, Robert Shaw
207 - La passion de Jeanne d'Arc (1928) - Starring: Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain
208 - Hotel Rwanda (2004) - Starring: Terry George (dir.), Don Cheadle, Sophie Okonedo
209 - Rocky (1976) - Starring: John G. Avildsen (dir.), Sylvester Stallone, Talia Shire
210 - Dead Poets Society (1989) - Starring: Peter Weir (dir.), Robin Williams, Robert Sean Leonard
211 - Tokyo Story (1953) - Starring: Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama
212 - Platoon (1986) - Starring: Oliver Stone (dir.), Charlie Sheen, Tom Berenger
213 - Ford v Ferrari (2019) - Starring: James Mangold (dir.), Matt Damon, Christian Bale
214 - The Terminator (1984) - Starring: James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton
215 - Stand by Me (1986) - Starring: Rob Reiner (dir.), Wil Wheaton, River Phoenix
216 - Rush (2013) - Starring: Ron Howard (dir.), Daniel Brühl, Chris Hemsworth
217 - Into the Wild (2007) - Starring: Sean Penn (dir.), Emile Hirsch, Vince Vaughn
218 - Logan (2017) - Starring: James Mangold (dir.), Hugh Jackman, Patrick Stewart
219 - The Wizard of Oz (1939) - Starring: Victor Fleming (dir.), Judy Garland, Frank Morgan
220 - Spotlight (2015) - Starring: Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton
221 - Network (1976) - Starring: Sidney Lumet (dir.), Faye Dunaway, William Holden
222 - Groundhog Day (1993) - Starring: Harold Ramis (dir.), Bill Murray, Andie MacDowell
223 - Ratatouille (2007) - Starring: Brad Bird (dir.), Brad Garrett, Lou Romano
224 - The Exorcist (1973) - Starring: William Friedkin (dir.), Ellen Burstyn, Max von Sydow
225 - Hachi: A Dog's Tale (2009) - Starring: Lasse Hallström (dir.), Richard Gere, Joan Allen
226 - The Incredibles (2004) - Starring: Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson
227 - The Best Years of Our Lives (1946) - Starring: William Wyler (dir.), Myrna Loy, Dana Andrews
228 - Before Sunset (2004) - Starring: Richard Linklater (dir.), Ethan Hawke, Julie Delpy
229 - Dersu Uzala (1975) - Starring: Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin
230 - Rebecca (1940) - Starring: Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine
231 - Babam ve Oglum (2005) - Starring: Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor
232 - The Grapes of Wrath (1940) - Starring: John Ford (dir.), Henry Fonda, Jane Darwell
233 - Cool Hand Luke (1967) - Starring: Stuart Rosenberg (dir.), Paul Newman, George Kennedy
234 - Pirates of the Caribbean: The Curse of the Black Pearl (2003) - Starring: Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush
235 - To Be or Not to Be (1942) - Starring: Ernst Lubitsch (dir.), Carole Lombard, Jack Benny
236 - La battaglia di Algeri (1966) - Starring: Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin
237 - Amores perros (2000) - Starring: Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal
238 - Dune (2021) - Starring: Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson
239 - The Sound of Music (1965) - Starring: Robert Wise (dir.), Julie Andrews, Christopher Plummer
240 - Life of Brian (1979) - Starring: Terry Jones (dir.), Graham Chapman, John Cleese
241 - Persona (1966) - Starring: Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann
242 - The 400 Blows (1959) -" Starring: François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
243 - It Happened One Night (1934) - Starring: Frank Capra (dir.), Clark Gable, Claudette Colbert
244 - La haine (1995) - Starring: Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé
245 - Aladdin (1992) - Starring: Ron Clements (dir.), Scott Weinger, Robin Williams
246 - Beauty and the Beast (1991) - Starring: Gary Trousdale (dir.), Paige O'Hara, Robby Benson
247 - Gandhi (1982) - Starring: Richard Attenborough (dir.), Ben Kingsley, John Gielgud
248 - The Help (2011) - Starring: Tate Taylor (dir.), Emma Stone, Viola Davis
249 - The Handmaiden (2016) -" Starring: Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
250 - Dances with Wolves (1990) - Starring: Kevin Costner (dir.), Kevin Costner, Mary McDonnell
